id;title;url;cover;rate
25872931;万物生长;http://movie.douban.com/subject/25872931/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2236439094.jpg;6.0
21767183;0.5毫米;http://movie.douban.com/subject/21767183/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2192573387.jpg;8.1
26279166;鸭王;http://movie.douban.com/subject/26279166/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2224389662.jpg;4.5
24753810;战狼;http://movie.douban.com/subject/24753810/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2225660666.jpg;6.9
5153254;爱你，罗茜;http://movie.douban.com/subject/5153254/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2190768432.jpg;7.3
24307637;江南1970;http://movie.douban.com/subject/24307637/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2221878905.jpg;6.2
2325873;第七子：降魔之战;http://movie.douban.com/subject/2325873/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2219669553.jpg;5.0
25898213;军犬麦克斯;http://movie.douban.com/subject/25898213/;http://img3.douban.com/view/photo/photo/public/p2254382850.jpg;7.1
6126442;一步之遥;http://movie.douban.com/subject/6126442/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2210853894.jpg;6.3
25821585;生活残骸;http://movie.douban.com/subject/25821585/;http://img3.douban.com/view/photo/photo/public/p2259048192.jpg;6.5
25861695;海月姬;http://movie.douban.com/subject/25861695/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2204589689.jpg;7.0
25834945;雏妓;http://movie.douban.com/subject/25834945/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2226169113.jpg;6.4
6875263;灰姑娘;http://movie.douban.com/subject/6875263/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2231066272.jpg;6.8
25908042;横冲直撞好莱坞;http://movie.douban.com/subject/25908042/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2244110255.jpg;4.6
21345845;涉足荒野;http://movie.douban.com/subject/21345845/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2217481599.jpg;7.5
25945408;所罗门的伪证后篇：审判;http://movie.douban.com/subject/25945408/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2232007307.jpg;5.9
25881780;命中注定;http://movie.douban.com/subject/25881780/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2253231009.jpg;5.7
